Ticker,Qty
1103 TT,105000
1108 TT,31000
1109 TT,391000
1201 TT,127000
1210 TT,640000
1217 TT,48000
1220 TT,8000
1225 TT,12000
1227 TT,134000
1231 TT,67000
1232 TT,55000
1234 TT,20000
1240 TT,12000
1301 TT,93000
1303 TT,426000
1307 TT,14000
1312 TT,369000
1314 TT,181000
1315 TT,29000
1316 TT,9000
1324 TT,8000
1326 TT,228000
1337 TT,196000
1340 TT,43000
1416 TT,7000
1417 TT,84000
1434 TT,195000
1436 TT,27000
1439 TT,12000
1444 TT,109000
1447 TT,38000
1451 TT,67000
1452 TT,46000
1455 TT,39000
1457 TT,45000
1464 TT,51000
1466 TT,38000
1467 TT,10000
1474 TT,43000
1503 TT,6000
1515 TT,24000
1517 TT,48000
1519 TT,19000
1521 TT,10000
1522 TT,8000
1526 TT,16000
1527 TT,81000
1531 TT,225000
1532 TT,52000
1535 TT,8000
1537 TT,11000
1540 TT,7000
1558 TT,41000
1563 TT,63000
1570 TT,8000
1599 TT,8000
1603 TT,12000
1604 TT,53000
1605 TT,170000
1608 TT,39000
1612 TT,64000
1614 TT,10000
1616 TT,7000
1617 TT,78000
1708 TT,54000
1709 TT,77000
1710 TT,81000
1717 TT,157000
1718 TT,256000
1721 TT,27000
1722 TT,208000
1723 TT,87000
1725 TT,12000
1734 TT,38000
1736 TT,9000
1737 TT,71000
1773 TT,54000
1785 TT,40000
1786 TT,14000
1795 TT,38000
1802 TT,39000
1806 TT,32000
1808 TT,51000
1809 TT,15000
1810 TT,8000
1813 TT,7000
1815 TT,57000
1905 TT,29000
1907 TT,192000
2002 TT,1830000
2006 TT,69000
2009 TT,15000
2010 TT,61000
2014 TT,42000
2023 TT,311000
2027 TT,233000
2028 TT,26000
2029 TT,21000
2030 TT,26000
2032 TT,11000
2034 TT,146000
2038 TT,9000
2062 TT,6000
2064 TT,8000
2101 TT,65000
2102 TT,13000
2107 TT,185000
2109 TT,35000
2114 TT,7000
2206 TT,109000
2247 TT,9000
2301 TT,123000
2316 TT,101000
2317 TT,1053000
2323 TT,142000
2330 TT,2480000
2340 TT,45000
2342 TT,201000
2345 TT,185000
2355 TT,62000
2360 TT,9000
2363 TT,30000
2367 TT,129000
2373 TT,6000
2374 TT,9000
2376 TT,31000
2377 TT,555000
2382 TT,99000
2383 TT,10000
2388 TT,76000
