iter	Passed	Remaining
0	93	93632
1	178	89166
2	257	85724
3	332	82711
4	401	79840
5	471	78164
6	538	76371
7	605	75138
8	676	74521
9	745	73786
10	815	73325
11	885	72940
12	954	72494
13	1027	72336
14	1098	72161
15	1166	71768
16	1237	71555
17	1306	71256
18	1372	70857
19	1441	70647
20	1510	70406
21	1578	70176
22	1644	69872
23	1713	69681
24	1782	69510
25	1852	69413
26	1922	69271
27	1992	69161
28	2063	69089
29	2131	68911
30	2199	68764
31	2267	68596
32	2335	68451
33	2403	68292
34	2470	68114
35	2540	68016
36	2606	67845
37	2674	67718
38	2743	67612
39	2811	67486
40	2878	67329
41	2946	67199
42	3011	67020
43	3080	66930
44	3145	66764
45	3213	66645
46	3280	66512
47	3346	66368
48	3412	66235
49	3482	66162
50	3546	65995
51	3614	65890
52	3681	65776
53	3749	65677
54	3816	65571
55	3885	65493
56	3952	65393
57	4020	65302
58	4089	65221
59	4153	65073
60	4222	64995
61	4286	64855
62	4354	64764
63	4419	64636
64	4487	64552
65	4554	64449
66	4621	64358
67	4691	64295
68	4759	64222
69	4825	64109
70	4892	64009
71	4961	63945
72	5030	63880
73	5098	63799
74	5163	63681
75	5230	63596
76	5297	63504
77	5363	63405
78	5433	63344
79	5503	63295
80	5570	63204
81	5637	63109
82	5705	63040
83	5774	62965
84	5844	62917
85	5913	62843
86	5980	62761
87	6047	62678
88	6115	62593
89	6182	62510
90	6251	62446
91	6318	62356
92	6389	62311
93	6454	62212
94	6519	62108
95	6584	62001
96	6653	61934
97	6724	61896
98	6790	61797
99	6858	61724
100	6926	61653
101	6992	61564
102	7060	61484
103	7127	61405
104	7193	61316
105	7261	61244
106	7328	61159
107	7397	61095
108	7463	61005
109	7528	60912
110	7592	60811
111	7663	60757
112	7729	60673
113	7794	60574
114	7863	60515
115	7929	60428
116	7997	60355
117	8065	60283
118	8132	60206
119	8198	60120
120	8263	60027
121	8334	59978
122	8404	59927
123	8473	59862
124	8539	59777
125	8606	59696
126	8673	59624
127	8742	59558
128	8810	59484
129	8879	59425
130	8945	59342
131	9017	59294
132	9085	59229
133	9155	59171
134	9224	59105
135	9290	59024
136	9358	58954
137	9424	58869
138	9491	58793
139	9566	58768
140	9631	58679
141	9696	58591
142	9764	58517
143	9830	58436
144	9895	58350
145	9961	58265
146	10025	58176
147	10097	58127
148	10162	58043
149	10231	57980
150	10299	57909
151	10367	57837
152	10434	57765
153	10503	57703
154	10577	57666
155	10646	57597
156	10715	57537
157	10782	57462
158	10847	57377
159	10918	57323
160	10985	57249
161	11055	57185
162	11125	57127
163	11191	57051
164	11263	56998
165	11330	56924
166	11398	56855
167	11468	56798
168	11538	56738
169	11605	56663
170	11669	56574
171	11734	56489
172	11802	56419
173	11870	56349
174	11936	56272
175	12004	56201
176	12075	56145
177	12143	56076
178	12212	56013
179	12277	55928
180	12341	55844
181	12406	55762
182	12472	55681
183	12540	55615
184	12608	55547
185	12680	55496
186	12749	55431
187	12821	55378
188	12891	55319
189	12955	55231
190	13019	55146
191	13085	55069
192	13151	54992
193	13215	54906
194	13280	54826
195	13347	54751
196	13415	54685
197	13483	54615
198	13551	54545
199	13614	54458
200	13685	54401
201	13752	54327
202	13819	54257
203	13886	54184
204	13952	54108
205	14018	54033
206	14086	53964
207	14155	53898
208	14221	53824
209	14283	53734
210	14347	53651
211	14413	53575
212	14479	53500
213	14546	53428
214	14612	53352
215	14678	53276
216	14743	53200
217	14810	53126
218	14872	53038
219	14941	52975
220	15009	52906
221	15076	52834
222	15141	52757
223	15207	52683
224	15275	52615
225	15346	52559
226	15417	52501
227	15483	52425
228	15548	52349
229	15615	52279
230	15682	52206
231	15749	52137
232	15817	52069
233	15882	51992
234	15947	51915
235	16016	51851
236	16081	51773
237	16155	51723
238	16224	51661
239	16294	51599
240	16362	51532
241	16425	51449
242	16496	51389
243	16567	51332
244	16636	51266
245	16702	51192
246	16767	51117
247	16832	51041
248	16896	50960
249	16961	50885
250	17030	50819
251	17094	50741
252	17162	50672
253	17228	50599
254	17292	50520
255	17359	50451
256	17421	50366
257	17488	50296
258	17555	50226
259	17621	50153
260	17687	50080
261	17751	50001
262	17819	49936
263	17887	49867
264	17953	49795
265	18021	49728
266	18088	49657
267	18154	49585
268	18215	49501
269	18283	49433
270	18351	49367
271	18418	49295
272	18481	49217
273	18545	49139
274	18613	49071
275	18677	48994
276	18745	48928
277	18810	48853
278	18879	48789
279	18944	48713
280	19011	48645
281	19075	48567
282	19142	48499
283	19209	48429
284	19275	48356
285	19339	48279
286	19403	48203
287	19472	48140
288	19537	48066
289	19601	47990
290	19668	47919
291	19733	47846
292	19802	47781
293	19869	47714
294	19935	47642
295	20004	47579
296	20073	47514
297	20139	47442
298	20205	47370
299	20269	47295
300	20336	47227
301	20403	47157
302	20469	47087
303	20534	47012
304	20598	46936
305	20661	46860
306	20727	46788
307	20793	46718
308	20854	46636
309	20919	46561
310	20985	46491
311	21049	46416
312	21112	46338
313	21179	46271
314	21249	46209
315	21319	46146
316	21384	46075
317	21456	46017
318	21520	45942
319	21589	45876
320	21653	45803
321	21724	45742
322	21790	45672
323	21861	45612
324	21923	45534
325	21988	45460
326	22054	45391
327	22121	45321
328	22186	45249
329	22249	45172
330	22317	45106
331	22385	45040
332	22448	44963
333	22514	44894
334	22579	44821
335	22644	44748
336	22713	44686
337	22781	44619
338	22848	44551
339	22913	44479
340	22978	44408
341	23043	44334
342	23111	44269
343	23182	44209
344	23248	44138
345	23311	44063
346	23380	43999
347	23446	43927
348	23509	43853
349	23575	43783
350	23637	43705
351	23702	43634
352	23766	43561
353	23835	43495
354	23897	43418
355	23962	43348
356	24028	43277
357	24094	43208
358	24158	43134
359	24222	43061
360	24286	42989
361	24351	42918
362	24418	42849
363	24480	42774
364	24541	42696
365	24606	42624
366	24671	42554
367	24735	42480
368	24799	42408
369	24862	42333
370	24928	42264
371	24994	42195
372	25057	42120
373	25122	42049
374	25184	41974
375	25249	41903
376	25311	41827
377	25373	41752
378	25440	41685
379	25504	41612
380	25571	41544
381	25633	41470
382	25699	41401
383	25763	41329
384	25828	41258
385	25892	41186
386	25955	41113
387	26021	41043
388	26087	40975
389	26156	40911
390	26224	40845
391	26289	40775
392	26353	40703
393	26419	40634
394	26481	40560
395	26547	40491
396	26610	40418
397	26675	40348
398	26740	40278
399	26805	40208
400	26869	40137
401	26931	40061
402	26993	39988
403	27058	39918
404	27121	39845
405	27184	39772
406	27248	39700
407	27312	39629
408	27376	39558
409	27440	39487
410	27503	39415
411	27570	39347
412	27638	39282
413	27702	39211
414	27766	39141
415	27831	39071
416	27897	39002
417	27960	38931
418	28025	38860
419	28090	38791
